R1,R2,CTest1,CTest2,VJump1,VJump2,30m,PH1,PH2,PH3,PH4,PH5,PHA,PHB,PHV,PHF,Reac1,Reac2,Reac3,Reac4,RA,RB,RV,RF,S1,S2,S3,S4,SA,SB,SV,SF,PS1,PS2,PS3,PS4,PSA,PSB,PSV,PSF,Branch
6.0,7.0,28.372,28.422,46.224037,46.224792,4.475,5,5,2,2,2,26.24,25.6,24.32,22.4,1,1,3,3,12.0,11.2,12.8,12.0,1,3,2,1,3.85,7.35,4.9,7.35,2,2,4,1,8.1,4.95,7.2,6.3,4
7.0,8.0,26.018,27.139,44.424614,33.79,4.218,2,4,4,5,1,26.24,25.6,24.32,22.4,4,3,5,3,22.5,21.0,24.0,22.5,4,5,3,4,8.8,16.8,11.2,16.8,5,4,2,2,11.7,7.15,10.4,9.1,1
3.0,4.0,30.917,28.216,36.54399,36.54399,4.401,1,5,4,5,2,27.88,27.2,25.84,23.8,1,1,3,4,13.5,12.6,14.4,13.5,2,5,1,5,7.15,13.65,9.1,13.65,3,4,4,4,13.5,8.25,12.0,10.5,4
5.0,4.5,72.451,-1.0,19.515354,15.016433,6.298,4,4,3,5,1,27.88,27.2,25.84,23.8,5,2,5,5,25.5,23.8,27.2,25.5,1,4,3,3,6.05,11.55,7.7,11.55,1,2,2,2,6.3,3.85,5.6,4.9,3
6.0,6.5,54.658,-1.0,24.602924,-2.0,5.487,4,4,5,2,3,29.52,28.8,27.36,25.2,1,1,3,2,10.5,9.8,11.2,10.5,5,2,1,2,5.5,10.5,7.0,10.5,1,1,5,3,9.0,5.5,8.0,7.0,4
7.5,6.0,56.831,-1.0,36.941425,36.74358,4.682,4,3,5,3,3,29.52,28.8,27.36,25.2,5,4,5,1,22.5,21.0,24.0,22.5,1,1,2,5,4.95,9.45,6.3,9.45,4,2,5,2,11.7,7.15,10.4,9.1,3
8.0,7.0,49.916,-1.0,31.96282,36.448875,5.085,3,5,4,2,5,31.16,30.4,28.88,26.6,5,3,2,1,16.5,15.4,17.6,16.5,3,2,1,4,5.5,10.5,7.0,10.5,5,4,5,4,16.2,9.9,14.4,12.6,4
7.0,7.0,25.07,31.725,46.202057,45.993233,3.788,5,4,3,3,4,31.16,30.4,28.88,26.6,4,1,5,5,22.5,21.0,24.0,22.5,1,5,5,4,8.25,15.75,10.5,15.75,4,3,5,4,14.4,8.8,12.8,11.2,1
7.0,7.0,28.26,27.923,41.379276,44.424614,4.252,4,4,5,4,2,31.16,30.4,28.88,26.6,3,5,5,4,25.5,23.8,27.2,25.5,5,2,3,3,7.15,13.65,9.1,13.65,4,4,4,1,11.7,7.15,10.4,9.1,1
5.0,5.0,64.4,-1.0,30.279137,37.48702,5.027,5,5,3,5,3,34.44,33.6,31.92,29.4,5,2,5,5,25.5,23.8,27.2,25.5,3,2,1,2,4.4,8.4,5.6,8.4,3,3,3,3,10.8,6.6,9.6,8.4,3
9.0,4.5,45.665,-1.0,31.138077,32.009026,5.089,5,5,5,4,5,39.36,38.4,36.48,33.6,1,5,2,3,16.5,15.4,17.6,16.5,4,1,3,4,6.6,12.6,8.4,12.6,3,5,5,1,12.6,7.7,11.2,9.8,5
8.0,7.0,25.086,25.613,48.36253,47.128555,4.061,5,2,4,4,4,31.16,30.4,28.88,26.6,3,2,3,1,13.5,12.6,14.4,13.5,1,3,2,2,4.4,8.4,5.6,8.4,4,5,4,5,16.2,9.9,14.4,12.6,4
8.0,7.0,29.917,26.636,36.402767,32.127026,4.121,4,5,4,4,3,32.8,32.0,30.4,28.0,2,2,4,4,18.0,16.8,19.2,18.0,2,3,2,4,6.05,11.55,7.7,11.55,1,1,1,3,5.4,3.3,4.8,4.2,3
8.0,7.0,55.205,-1.0,31.138077,32.891994,4.803,1,2,3,2,1,14.76,14.4,13.68,12.6,2,5,2,1,15.0,14.0,16.0,15.0,2,3,4,3,6.6,12.6,8.4,12.6,2,4,2,5,11.7,7.15,10.4,9.1,5
5.0,6.0,27.058,26.8,35.329826,39.46614,4.171,3,2,1,5,2,21.32,20.8,19.76,18.2,3,1,5,3,18.0,16.8,19.2,18.0,1,1,3,3,4.4,8.4,5.6,8.4,3,3,4,3,11.7,7.15,10.4,9.1,3
8.0,5.5,55.245,-1.0,32.891994,37.48702,4.757,1,1,2,2,2,13.12,12.8,12.16,11.2,2,4,3,2,16.5,15.4,17.6,16.5,5,1,1,3,5.5,10.5,7.0,10.5,4,5,2,3,12.6,7.7,11.2,9.8,5
8.0,7.0,25.18,25.801,53.38216,53.70915,3.737,3,5,3,5,2,29.52,28.8,27.36,25.2,5,5,5,2,25.5,23.8,27.2,25.5,3,5,2,3,7.15,13.65,9.1,13.65,2,3,4,4,11.7,7.15,10.4,9.1,1
8.0,5.0,26.149,25.223,50.916557,50.32434,4.222,4,2,1,4,2,21.32,20.8,19.76,18.2,5,2,1,3,16.5,15.4,17.6,16.5,1,2,4,2,4.95,9.45,6.3,9.45,2,4,2,3,9.9,6.05,8.8,7.7,4
7.0,8.0,27.12,26.273,37.48702,26.963509,4.286,1,3,2,5,3,22.96,22.4,21.28,19.6,3,4,2,4,19.5,18.2,20.8,19.5,3,2,2,4,6.05,11.55,7.7,11.55,5,4,2,4,13.5,8.25,12.0,10.5,3
7.5,6.0,47.396,-1.0,46.819557,50.65129,4.502,4,1,2,2,1,16.4,16.0,15.2,14.0,5,3,2,1,16.5,15.4,17.6,16.5,2,1,4,4,6.05,11.55,7.7,11.55,3,4,4,2,11.7,7.15,10.4,9.1,4
8.0,7.0,57.791,-1.0,39.703403,40.238888,4.553,5,5,5,3,1,31.16,30.4,28.88,26.6,2,2,5,3,18.0,16.8,19.2,18.0,2,4,1,2,4.95,9.45,6.3,9.45,3,5,5,5,16.2,9.9,14.4,12.6,3
0.0,0.0,47.694,-1.0,39.183144,39.94277,4.727,5,4,5,4,2,32.8,32.0,30.4,28.0,5,1,4,3,19.5,18.2,20.8,19.5,5,3,4,5,9.35,17.85,11.9,17.85,2,2,1,5,9.0,5.5,8.0,7.0,2
8.0,7.0,25.292,27.439,50.159218,46.080074,3.914,5,5,2,3,1,26.24,25.6,24.32,22.4,3,4,5,1,19.5,18.2,20.8,19.5,1,3,1,2,3.85,7.35,4.9,7.35,1,2,2,1,5.4,3.3,4.8,4.2,3
4.0,6.0,26.959,27.412,29.432209,39.409122,4.316,2,5,2,1,1,18.04,17.6,16.72,15.4,2,1,1,2,9.0,8.4,9.6,9.0,4,2,2,2,5.5,10.5,7.0,10.5,5,3,1,2,9.9,6.05,8.8,7.7,4
5.5,6.0,56.3,-1.0,28.597296,35.61297,4.878,5,5,1,1,5,27.88,27.2,25.84,23.8,5,5,5,5,30.0,28.0,32.0,30.0,1,1,1,5,4.4,8.4,5.6,8.4,3,1,3,4,9.9,6.05,8.8,7.7,3
7.5,4.5,56.357,-1.0,27.774395,35.61297,5.171,2,1,4,3,2,19.68,19.2,18.24,16.8,5,2,3,4,21.0,19.6,22.4,21.0,4,1,2,3,5.5,10.5,7.0,10.5,3,3,5,1,10.8,6.6,9.6,8.4,3
8.0,7.0,56.682,-1.0,31.138077,27.774395,4.755,1,2,5,1,2,18.04,17.6,16.72,15.4,4,2,3,3,18.0,16.8,19.2,18.0,2,5,1,1,4.95,9.45,6.3,9.45,4,5,3,5,15.3,9.35,13.6,11.9,3
9.0,6.0,46.383,-1.0,39.409122,38.44207,4.485,4,2,2,5,1,22.96,22.4,21.28,19.6,3,5,5,5,27.0,25.2,28.8,27.0,3,2,3,3,6.05,11.55,7.7,11.55,5,3,2,3,11.7,7.15,10.4,9.1,3
5.0,6.0,26.981,25.437,42.497932,39.873806,4.239,4,1,5,5,4,31.16,30.4,28.88,26.6,3,3,4,1,16.5,15.4,17.6,16.5,5,4,2,2,7.15,13.65,9.1,13.65,3,1,1,1,5.4,3.3,4.8,4.2,4
8.0,5.0,27.247,25.438,49.509563,44.58578,3.977,2,3,2,2,1,16.4,16.0,15.2,14.0,2,3,4,4,19.5,18.2,20.8,19.5,3,2,5,1,6.05,11.55,7.7,11.55,4,1,3,3,9.9,6.05,8.8,7.7,3
8.0,5.5,48.723,-1.0,37.388657,39.819294,4.791,1,1,3,4,2,18.04,17.6,16.72,15.4,1,3,3,3,15.0,14.0,16.0,15.0,4,3,3,2,6.6,12.6,8.4,12.6,4,5,4,2,13.5,8.25,12.0,10.5,4
6.0,6.5,58.269,-1.0,27.318007,26.527544,5.739,1,1,5,1,5,21.32,20.8,19.76,18.2,4,2,3,4,19.5,18.2,20.8,19.5,1,3,1,5,5.5,10.5,7.0,10.5,5,3,4,1,11.7,7.15,10.4,9.1,3
0.0,0.5,48.624,-1.0,34.60234,32.96684,4.776,3,2,4,2,3,22.96,22.4,21.28,19.6,2,5,5,5,25.5,23.8,27.2,25.5,5,4,5,1,8.25,15.75,10.5,15.75,1,2,2,2,6.3,3.85,5.6,4.9,2
8.0,7.0,58.177,-1.0,31.953053,28.329948,5.144,2,4,5,3,5,31.16,30.4,28.88,26.6,5,4,4,5,27.0,25.2,28.8,27.0,5,4,5,2,8.8,16.8,11.2,16.8,5,5,1,3,12.6,7.7,11.2,9.8,1
8.0,5.5,48.309,-1.0,32.944717,39.15016,4.521,5,4,5,5,2,34.44,33.6,31.92,29.4,5,3,2,1,16.5,15.4,17.6,16.5,2,3,1,4,5.5,10.5,7.0,10.5,4,4,2,1,9.9,6.05,8.8,7.7,5
7.0,6.0,58.514,-1.0,38.53548,-2.0,4.844,4,5,5,3,5,36.08,35.2,33.44,30.8,2,1,5,5,19.5,18.2,20.8,19.5,4,3,5,2,7.7,14.7,9.8,14.7,2,4,5,2,11.7,7.15,10.4,9.1,1
7.0,8.0,26.671,26.72,35.61297,38.44207,4.234,1,5,5,3,2,26.24,25.6,24.32,22.4,1,3,3,5,18.0,16.8,19.2,18.0,4,1,3,3,6.05,11.55,7.7,11.55,1,3,4,1,8.1,4.95,7.2,6.3,3
7.0,7.0,25.486,26.851,61.198196,53.633,3.914,1,1,5,4,1,19.68,19.2,18.24,16.8,5,1,2,3,16.5,15.4,17.6,16.5,3,1,2,5,6.05,11.55,7.7,11.55,2,4,3,4,11.7,7.15,10.4,9.1,4
6.0,6.0,30.6,30.607,27.71,28.32,4.44,4,2,1,1,1,14.76,14.4,13.68,12.6,5,2,2,4,19.5,18.2,20.8,19.5,3,1,2,2,4.4,8.4,5.6,8.4,5,3,4,4,14.4,8.8,12.8,11.2,5
8.0,6.5,57.661,-1.0,-2.0,36.54399,4.624,3,2,1,2,4,19.68,19.2,18.24,16.8,4,4,2,4,21.0,19.6,22.4,21.0,4,2,2,1,4.95,9.45,6.3,9.45,2,1,3,4,9.0,5.5,8.0,7.0,3
7.0,6.0,45.866,-1.0,45.463757,41.379276,4.612,4,4,2,3,3,26.24,25.6,24.32,22.4,3,3,1,5,18.0,16.8,19.2,18.0,5,2,4,3,7.7,14.7,9.8,14.7,5,2,5,2,12.6,7.7,11.2,9.8,1
8.0,7.0,25.567,25.955,49.906105,57.040432,3.787,5,5,5,3,4,36.08,35.2,33.44,30.8,4,3,1,4,18.0,16.8,19.2,18.0,2,3,3,2,5.5,10.5,7.0,10.5,2,2,3,2,8.1,4.95,7.2,6.3,3
7.0,7.0,31.92,30.67,38.0,39.28,4.67,5,1,5,1,3,24.6,24.0,22.8,21.0,1,3,4,2,15.0,14.0,16.0,15.0,5,3,5,2,8.25,15.75,10.5,15.75,4,4,4,2,12.6,7.7,11.2,9.8,5
7.0,6.5,45.949,-1.0,-2.0,31.138077,4.607,5,1,2,3,5,26.24,25.6,24.32,22.4,5,1,1,4,16.5,15.4,17.6,16.5,1,2,2,1,3.3,6.3,4.2,6.3,4,1,2,2,8.1,4.95,7.2,6.3,4
6.0,6.0,27.386,27.715,42.08507,43.31409,4.124,1,3,3,4,1,19.68,19.2,18.24,16.8,4,5,1,4,21.0,19.6,22.4,21.0,5,5,1,3,7.7,14.7,9.8,14.7,3,4,3,5,13.5,8.25,12.0,10.5,1
8.0,7.0,27.421,29.377,43.84149,47.574245,4.092,1,3,3,4,5,26.24,25.6,24.32,22.4,3,4,3,2,18.0,16.8,19.2,18.0,3,1,3,1,4.4,8.4,5.6,8.4,4,5,3,5,15.3,9.35,13.6,11.9,3
6.0,5.0,26.805,25.741,49.4,48.2,3.7,1,3,3,2,3,19.68,19.2,18.24,16.8,1,5,4,3,19.5,18.2,20.8,19.5,5,1,3,2,6.05,11.55,7.7,11.55,2,4,3,5,12.6,7.7,11.2,9.8,3
5.5,5.0,46.092,-1.0,34.693966,31.138077,4.627,3,3,1,5,1,21.32,20.8,19.76,18.2,4,5,5,1,22.5,21.0,24.0,22.5,1,3,2,4,5.5,10.5,7.0,10.5,2,4,3,1,9.0,5.5,8.0,7.0,3
3.0,3.0,-2.0,29.628,34.693966,40.3882,4.717,2,3,1,2,1,14.76,14.4,13.68,12.6,3,5,3,4,22.5,21.0,24.0,22.5,4,4,1,1,5.5,10.5,7.0,10.5,2,1,2,5,9.0,5.5,8.0,7.0,5
6.0,6.0,26.108,25.63,46.303406,46.218616,4.22,3,1,2,2,2,16.4,16.0,15.2,14.0,5,2,5,1,19.5,18.2,20.8,19.5,4,5,5,2,8.8,16.8,11.2,16.8,3,5,5,4,15.3,9.35,13.6,11.9,1
7.0,6.0,46.31,-1.0,33.786972,32.009026,4.614,3,3,5,4,2,27.88,27.2,25.84,23.8,4,5,5,1,22.5,21.0,24.0,22.5,5,5,5,4,10.45,19.95,13.3,19.95,1,4,4,1,9.0,5.5,8.0,7.0,2
7.0,6.5,46.359,-1.0,51.95,46.51,4.155,3,2,5,4,3,27.88,27.2,25.84,23.8,3,5,5,4,25.5,23.8,27.2,25.5,4,1,4,1,5.5,10.5,7.0,10.5,1,5,2,5,11.7,7.15,10.4,9.1,3
5.5,4.5,59.124,-1.0,33.791603,36.729355,5.161,1,2,2,3,1,14.76,14.4,13.68,12.6,4,3,1,5,19.5,18.2,20.8,19.5,2,4,4,5,8.25,15.75,10.5,15.75,5,3,2,5,13.5,8.25,12.0,10.5,5
8.0,7.0,59.735,-1.0,31.118061,33.56416,5.082,2,1,3,5,2,21.32,20.8,19.76,18.2,2,5,4,1,18.0,16.8,19.2,18.0,3,2,2,3,5.5,10.5,7.0,10.5,4,5,1,3,11.7,7.15,10.4,9.1,3
0.0,0.0,49.839,-1.0,45.338867,43.515144,4.598,4,1,4,3,2,22.96,22.4,21.28,19.6,2,5,2,4,19.5,18.2,20.8,19.5,4,3,5,5,9.35,17.85,11.9,17.85,1,5,1,2,8.1,4.95,7.2,6.3,2
7.0,5.5,49.933,-1.0,26.175282,27.942343,5.282,1,4,5,5,1,26.24,25.6,24.32,22.4,4,5,2,3,21.0,19.6,22.4,21.0,4,2,3,4,7.15,13.65,9.1,13.65,3,5,3,5,14.4,8.8,12.8,11.2,1
5.0,4.5,59.963,-1.0,30.99281,28.744438,5.211,3,3,4,4,3,27.88,27.2,25.84,23.8,5,5,2,1,19.5,18.2,20.8,19.5,5,3,4,3,8.25,15.75,10.5,15.75,4,5,4,1,12.6,7.7,11.2,9.8,1
9.0,6.0,59.004,-1.0,35.65461,36.06753,5.155,5,5,3,1,4,29.52,28.8,27.36,25.2,2,3,2,5,18.0,16.8,19.2,18.0,4,4,4,1,7.15,13.65,9.1,13.65,2,5,5,1,11.7,7.15,10.4,9.1,1
5.0,4.0,36.936,30.792,32.71,38.7,5.93,1,2,1,4,2,16.4,16.0,15.2,14.0,2,5,1,4,18.0,16.8,19.2,18.0,3,2,3,3,6.05,11.55,7.7,11.55,1,2,5,3,9.9,6.05,8.8,7.7,3
8.0,7.0,26.806,25.689,48.59132,47.325615,4.124,1,2,4,2,2,18.04,17.6,16.72,15.4,5,1,1,4,16.5,15.4,17.6,16.5,1,1,1,4,3.85,7.35,4.9,7.35,3,5,1,5,12.6,7.7,11.2,9.8,4
8.0,6.5,46.631,-1.0,46.5149,38.44207,4.275,1,5,3,1,3,21.32,20.8,19.76,18.2,3,5,2,4,21.0,19.6,22.4,21.0,5,3,4,3,8.25,15.75,10.5,15.75,2,5,5,4,14.4,8.8,12.8,11.2,1
8.0,7.0,25.743,26.839,42.0799,39.506,4.011,1,3,1,2,1,13.12,12.8,12.16,11.2,1,1,4,3,13.5,12.6,14.4,13.5,4,4,2,1,6.05,11.55,7.7,11.55,3,3,5,5,14.4,8.8,12.8,11.2,5
8.0,7.0,28.042,25.822,34.24817,29.930927,4.186,4,4,4,2,1,24.6,24.0,22.8,21.0,3,5,2,3,19.5,18.2,20.8,19.5,5,4,2,1,6.6,12.6,8.4,12.6,1,5,3,4,11.7,7.15,10.4,9.1,1
4.5,5.0,60.044,-1.0,40.72382,42.6829,5.098,3,3,1,4,1,19.68,19.2,18.24,16.8,3,3,1,2,13.5,12.6,14.4,13.5,3,3,3,4,7.15,13.65,9.1,13.65,2,1,3,5,9.9,6.05,8.8,7.7,4
8.0,6.5,50.353,-1.0,38.425457,36.370716,4.536,2,3,4,1,2,19.68,19.2,18.24,16.8,3,3,5,1,18.0,16.8,19.2,18.0,3,3,3,2,6.05,11.55,7.7,11.55,1,4,1,2,7.2,4.4,6.4,5.6,3
8.0,6.5,50.388,-1.0,59.508934,51.724625,4.141,5,3,2,1,1,19.68,19.2,18.24,16.8,3,4,5,1,19.5,18.2,20.8,19.5,5,2,4,1,6.6,12.6,8.4,12.6,5,1,1,3,9.0,5.5,8.0,7.0,2
7.5,7.0,60.641,-1.0,26.759338,27.760277,5.467,5,3,2,3,1,22.96,22.4,21.28,19.6,3,5,1,5,21.0,19.6,22.4,21.0,1,3,1,4,4.95,9.45,6.3,9.45,2,3,1,2,7.2,4.4,6.4,5.6,3
5.0,3.5,50.847,-1.0,44.28,42.61,4.807,4,4,3,2,1,22.96,22.4,21.28,19.6,4,4,5,4,25.5,23.8,27.2,25.5,4,3,1,4,6.6,12.6,8.4,12.6,1,2,1,4,7.2,4.4,6.4,5.6,2
5.5,4.0,60.752,-1.0,36.711777,35.260628,4.978,4,3,4,1,3,24.6,24.0,22.8,21.0,3,1,1,1,9.0,8.4,9.6,9.0,3,5,4,5,9.35,17.85,11.9,17.85,4,2,5,5,14.4,8.8,12.8,11.2,4
6.5,6.0,60.941,-1.0,31.383953,25.075926,5.714,1,2,4,5,3,24.6,24.0,22.8,21.0,1,1,4,2,12.0,11.2,12.8,12.0,3,2,4,5,7.7,14.7,9.8,14.7,3,1,5,3,10.8,6.6,9.6,8.4,4
8.0,7.0,60.753,-1.0,31.926521,35.517757,4.972,4,2,2,2,5,24.6,24.0,22.8,21.0,1,4,4,2,16.5,15.4,17.6,16.5,3,5,4,4,8.8,16.8,11.2,16.8,3,4,4,3,12.6,7.7,11.2,9.8,4
7.5,7.0,60.241,-1.0,38.603973,39.458355,5.008,2,2,5,5,1,24.6,24.0,22.8,21.0,5,2,4,2,19.5,18.2,20.8,19.5,5,1,5,1,6.6,12.6,8.4,12.6,1,3,3,5,10.8,6.6,9.6,8.4,2
6.0,6.0,50.794,-1.0,-2.0,35.6759,4.94,3,4,2,3,3,24.6,24.0,22.8,21.0,5,2,1,5,19.5,18.2,20.8,19.5,1,4,3,5,7.15,13.65,9.1,13.65,2,5,2,5,12.6,7.7,11.2,9.8,1
6.0,3.5,50.596,-1.0,57.84163,55.74492,4.311,4,3,3,1,5,26.24,25.6,24.32,22.4,1,2,2,2,10.5,9.8,11.2,10.5,2,5,5,5,9.35,17.85,11.9,17.85,2,5,4,1,10.8,6.6,9.6,8.4,4
6.5,6.0,50.892,-1.0,33.368927,29.92402,4.925,4,3,4,3,4,29.52,28.8,27.36,25.2,1,4,1,5,16.5,15.4,17.6,16.5,3,4,1,1,4.95,9.45,6.3,9.45,3,1,4,3,9.9,6.05,8.8,7.7,5
6.5,5.5,60.078,-1.0,-2.0,27.776026,5.23,4,5,4,1,5,31.16,30.4,28.88,26.6,3,3,1,4,16.5,15.4,17.6,16.5,3,4,5,3,8.25,15.75,10.5,15.75,1,3,5,4,11.7,7.15,10.4,9.1,4
8.0,6.5,59.688,-1.0,32.009026,16.241774,4.658,4,3,5,2,2,26.24,25.6,24.32,22.4,1,5,2,2,15.0,14.0,16.0,15.0,4,4,3,1,6.6,12.6,8.4,12.6,3,1,2,5,9.9,6.05,8.8,7.7,5
7.0,7.0,59.861,-1.0,21.623661,24.602924,5.554,5,5,3,2,3,29.52,28.8,27.36,25.2,3,2,5,3,19.5,18.2,20.8,19.5,1,5,2,2,5.5,10.5,7.0,10.5,2,2,4,3,9.9,6.05,8.8,7.7,3
6.0,5.0,27.618,29.56,42.38238,41.379276,4.736,1,2,1,4,2,16.4,16.0,15.2,14.0,2,4,4,4,21.0,19.6,22.4,21.0,2,2,2,4,5.5,10.5,7.0,10.5,3,1,5,1,9.0,5.5,8.0,7.0,3
8.0,6.0,47.931,-1.0,-2.0,30.279137,4.388,3,1,5,3,4,26.24,25.6,24.32,22.4,5,3,5,5,27.0,25.2,28.8,27.0,1,2,1,1,2.75,5.25,3.5,5.25,3,1,4,3,9.9,6.05,8.8,7.7,3
8.0,7.0,60.329,-1.0,30.279137,33.786972,4.948,5,2,5,1,4,27.88,27.2,25.84,23.8,2,5,1,1,13.5,12.6,14.4,13.5,5,5,5,2,9.35,17.85,11.9,17.85,5,5,2,4,14.4,8.8,12.8,11.2,4
8.0,7.0,60.407,-1.0,20.20611,35.61297,5.063,3,5,4,1,1,22.96,22.4,21.28,19.6,4,4,4,2,21.0,19.6,22.4,21.0,1,4,4,5,7.7,14.7,9.8,14.7,1,1,5,2,8.1,4.95,7.2,6.3,2
8.0,5.0,27.777,25.969,42.235466,44.45739,3.948,3,5,3,3,3,27.88,27.2,25.84,23.8,2,1,1,5,13.5,12.6,14.4,13.5,4,2,3,3,6.6,12.6,8.4,12.6,2,3,2,2,8.1,4.95,7.2,6.3,4
8.0,6.0,60.501,-1.0,-2.0,27.774395,4.723,4,1,4,3,3,24.6,24.0,22.8,21.0,3,3,5,3,21.0,19.6,22.4,21.0,4,1,2,2,4.95,9.45,6.3,9.45,4,1,2,2,8.1,4.95,7.2,6.3,3
6.0,6.5,60.566,-1.0,34.693966,30.279137,4.991,2,2,4,3,5,26.24,25.6,24.32,22.4,1,3,2,1,10.5,9.8,11.2,10.5,4,4,1,5,7.7,14.7,9.8,14.7,5,5,4,3,15.3,9.35,13.6,11.9,4
