R1,R2,CTest1,CTest2,VJump1,VJump2,30m,PH1,PH2,PH3,PH4,PH5,PHA,PHB,PHV,PHF,Reac1,Reac2,Reac3,Reac4,RA,RB,RV,RF,S1,S2,S3,S4,SA,SB,SV,SF,PS1,PS2,PS3,PS4,PSA,PSB,PSV,PSF,Branch
6.0,4.0,64.831,-1.0,55.03742,56.66943,4.861,2.0,3.0,4.0,3.0,5.0,27.88,27.2,25.84,23.8,1.0,2.0,2.0,3.0,12.0,11.2,12.8,12.0,1.0,3.0,2.0,4.0,5.5,10.5,7.0,10.5,3.0,2.0,2.0,4.0,9.9,6.05,8.8,7.7,3
3.0,4.0,30.763,26.192,26.963509,38.44207,4.204,3.0,5.0,2.0,2.0,3.0,24.6,24.0,22.8,21.0,3.0,4.0,1.0,3.0,16.5,15.4,17.6,16.5,5.0,2.0,4.0,3.0,7.7,14.7,9.8,14.7,4.0,3.0,4.0,3.0,12.6,7.7,11.2,9.8,3
7.0,6.0,46.31,-1.0,33.786972,32.009026,4.614,3.0,3.0,5.0,4.0,2.0,27.88,27.2,25.84,23.8,4.0,5.0,5.0,1.0,22.5,21.0,24.0,22.5,5.0,5.0,5.0,4.0,10.45,19.95,13.3,19.95,1.0,4.0,4.0,1.0,9.0,5.5,8.0,7.0,1
4.0,4.0,31.936,27.104,36.54399,39.409122,4.09,3.0,4.0,4.0,5.0,4.0,32.8,32.0,30.4,28.0,1.0,1.0,2.0,2.0,9.0,8.4,9.6,9.0,2.0,3.0,2.0,4.0,6.05,11.55,7.7,11.55,2.0,5.0,1.0,3.0,9.9,6.05,8.8,7.7,3
6.5,7.0,61.608,-1.0,30.279137,29.432209,4.694,3.0,4.0,1.0,5.0,1.0,22.96,22.4,21.28,19.6,5.0,5.0,1.0,4.0,22.5,21.0,24.0,22.5,1.0,5.0,2.0,4.0,6.6,12.6,8.4,12.6,3.0,3.0,4.0,1.0,9.9,6.05,8.8,7.7,1
7.5,4.5,56.357,-1.0,27.774395,35.61297,5.171,2.0,1.0,4.0,3.0,2.0,19.68,19.2,18.24,16.8,5.0,2.0,3.0,4.0,21.0,19.6,22.4,21.0,4.0,1.0,2.0,3.0,5.5,10.5,7.0,10.5,3.0,3.0,5.0,1.0,10.8,6.6,9.6,8.4,2
7.0,6.5,46.359,-1.0,51.95,46.51,4.155,3.0,2.0,5.0,4.0,3.0,27.88,27.2,25.84,23.8,3.0,5.0,5.0,4.0,25.5,23.8,27.2,25.5,4.0,1.0,4.0,1.0,5.5,10.5,7.0,10.5,1.0,5.0,2.0,5.0,11.7,7.15,10.4,9.1,2
8.0,7.0,29.414,29.783,33.132835,32.970272,4.766,2.0,1.0,5.0,1.0,1.0,16.4,16.0,15.2,14.0,1.0,3.0,3.0,2.0,13.5,12.6,14.4,13.5,1.0,3.0,3.0,5.0,6.6,12.6,8.4,12.6,2.0,3.0,1.0,4.0,9.0,5.5,8.0,7.0,3
8.0,3.0,27.265,26.757,37.048363,35.447983,4.443,2.0,5.0,1.0,1.0,2.0,18.04,17.6,16.72,15.4,1.0,1.0,5.0,2.0,13.5,12.6,14.4,13.5,3.0,3.0,4.0,1.0,6.05,11.55,7.7,11.55,1.0,2.0,2.0,2.0,6.3,3.85,5.6,4.9,3
8.0,7.0,78.087,-1.0,31.138077,23.089266,4.843,1.0,4.0,1.0,2.0,3.0,18.04,17.6,16.72,15.4,2.0,5.0,4.0,1.0,18.0,16.8,19.2,18.0,3.0,1.0,3.0,3.0,5.5,10.5,7.0,10.5,1.0,2.0,4.0,3.0,9.0,5.5,8.0,7.0,2
6.0,7.0,28.57,28.441,43.231064,45.26763,4.188,3.0,1.0,2.0,2.0,2.0,16.4,16.0,15.2,14.0,4.0,4.0,4.0,5.0,25.5,23.8,27.2,25.5,4.0,2.0,5.0,2.0,7.15,13.65,9.1,13.65,4.0,3.0,1.0,5.0,11.7,7.15,10.4,9.1,0
7.5,6.5,49.664,-1.0,36.54399,34.693966,5.252,1.0,2.0,3.0,4.0,3.0,21.32,20.8,19.76,18.2,5.0,3.0,2.0,3.0,19.5,18.2,20.8,19.5,4.0,3.0,2.0,3.0,6.6,12.6,8.4,12.6,2.0,1.0,2.0,5.0,9.0,5.5,8.0,7.0,1
8.0,6.5,67.681,-1.0,41.379276,36.54399,4.42,4.0,5.0,4.0,2.0,3.0,29.52,28.8,27.36,25.2,3.0,5.0,4.0,2.0,21.0,19.6,22.4,21.0,4.0,5.0,5.0,2.0,8.8,16.8,11.2,16.8,1.0,2.0,2.0,2.0,6.3,3.85,5.6,4.9,1
5.0,4.0,37.895,31.835,26.37,29.25,4.47,3.0,5.0,3.0,1.0,4.0,26.24,25.6,24.32,22.4,3.0,2.0,2.0,1.0,12.0,11.2,12.8,12.0,4.0,1.0,1.0,1.0,3.85,7.35,4.9,7.35,5.0,1.0,3.0,3.0,10.8,6.6,9.6,8.4,4
7.0,7.0,27.024,26.238,37.72,40.67,4.04,5.0,3.0,5.0,4.0,5.0,36.08,35.2,33.44,30.8,1.0,4.0,2.0,3.0,15.0,14.0,16.0,15.0,5.0,3.0,4.0,2.0,7.7,14.7,9.8,14.7,2.0,5.0,3.0,1.0,9.9,6.05,8.8,7.7,3
5.0,5.0,64.4,-1.0,30.279137,37.48702,5.027,5.0,5.0,3.0,5.0,3.0,34.44,33.6,31.92,29.4,5.0,2.0,5.0,5.0,25.5,23.8,27.2,25.5,3.0,2.0,1.0,2.0,4.4,8.4,5.6,8.4,3.0,3.0,3.0,3.0,10.8,6.6,9.6,8.4,2
6.5,6.5,56.216,-1.0,34.693966,34.693966,5.013,1.0,4.0,5.0,5.0,5.0,32.8,32.0,30.4,28.0,4.0,5.0,2.0,2.0,19.5,18.2,20.8,19.5,3.0,5.0,2.0,2.0,6.6,12.6,8.4,12.6,3.0,2.0,5.0,2.0,10.8,6.6,9.6,8.4,1
7.5,6.5,65.66,-1.0,32.009026,38.44207,4.498,4.0,3.0,4.0,5.0,2.0,29.52,28.8,27.36,25.2,1.0,4.0,4.0,1.0,15.0,14.0,16.0,15.0,4.0,4.0,5.0,5.0,9.9,18.9,12.6,18.9,1.0,5.0,5.0,1.0,10.8,6.6,9.6,8.4,3
7.0,8.0,30.311,28.676,44.424614,38.44207,3.98,1.0,5.0,3.0,3.0,1.0,21.32,20.8,19.76,18.2,1.0,5.0,2.0,2.0,15.0,14.0,16.0,15.0,4.0,1.0,4.0,1.0,5.5,10.5,7.0,10.5,3.0,5.0,5.0,5.0,16.2,9.9,14.4,12.6,4
8.0,7.0,60.442,-1.0,32.891994,33.786972,4.729,5.0,2.0,3.0,1.0,1.0,19.68,19.2,18.24,16.8,5.0,3.0,5.0,5.0,27.0,25.2,28.8,27.0,2.0,4.0,1.0,4.0,6.05,11.55,7.7,11.55,3.0,2.0,2.0,2.0,8.1,4.95,7.2,6.3,2
6.5,6.5,49.695,-1.0,29.432209,46.5149,4.435,4.0,5.0,5.0,3.0,1.0,29.52,28.8,27.36,25.2,4.0,2.0,5.0,5.0,24.0,22.4,25.6,24.0,3.0,2.0,2.0,3.0,5.5,10.5,7.0,10.5,5.0,1.0,2.0,2.0,9.0,5.5,8.0,7.0,2
4.5,4.0,62.79,-1.0,47.880817,-2.0,4.908,1.0,5.0,5.0,1.0,1.0,21.32,20.8,19.76,18.2,5.0,5.0,4.0,4.0,27.0,25.2,28.8,27.0,4.0,1.0,1.0,1.0,3.85,7.35,4.9,7.35,5.0,3.0,3.0,3.0,12.6,7.7,11.2,9.8,2
6.0,3.0,30.587,26.994,36.6403,38.199856,4.042,5.0,4.0,5.0,2.0,1.0,27.88,27.2,25.84,23.8,3.0,5.0,1.0,2.0,16.5,15.4,17.6,16.5,2.0,2.0,1.0,2.0,3.85,7.35,4.9,7.35,5.0,1.0,2.0,1.0,8.1,4.95,7.2,6.3,3
6.5,5.5,57.553,-1.0,41.85684,42.22453,4.379,4.0,4.0,1.0,2.0,5.0,26.24,25.6,24.32,22.4,1.0,3.0,3.0,4.0,16.5,15.4,17.6,16.5,1.0,3.0,1.0,3.0,4.4,8.4,5.6,8.4,2.0,1.0,1.0,2.0,5.4,3.3,4.8,4.2,3
7.0,7.0,31.357,30.392,28.597296,33.786972,4.268,1.0,1.0,5.0,4.0,4.0,24.6,24.0,22.8,21.0,2.0,1.0,2.0,5.0,15.0,14.0,16.0,15.0,3.0,5.0,3.0,4.0,8.25,15.75,10.5,15.75,3.0,4.0,4.0,2.0,11.7,7.15,10.4,9.1,3
8.0,6.0,26.764,23.691,47.578068,43.397495,3.995,3.0,3.0,3.0,2.0,1.0,19.68,19.2,18.24,16.8,1.0,5.0,1.0,2.0,13.5,12.6,14.4,13.5,4.0,4.0,5.0,1.0,7.7,14.7,9.8,14.7,5.0,2.0,3.0,2.0,10.8,6.6,9.6,8.4,3
6.0,3.0,27.262,27.394,42.958363,42.15046,3.932,4.0,5.0,3.0,5.0,3.0,32.8,32.0,30.4,28.0,4.0,3.0,4.0,5.0,24.0,22.4,25.6,24.0,5.0,5.0,2.0,3.0,8.25,15.75,10.5,15.75,2.0,2.0,2.0,5.0,9.9,6.05,8.8,7.7,1
6.0,4.0,30.632,28.965,33.786972,43.397495,4.009,3.0,3.0,3.0,3.0,1.0,21.32,20.8,19.76,18.2,1.0,3.0,2.0,5.0,16.5,15.4,17.6,16.5,3.0,1.0,1.0,2.0,3.85,7.35,4.9,7.35,3.0,5.0,5.0,2.0,13.5,8.25,12.0,10.5,3
0.0,0.0,49.839,-1.0,45.338867,43.515144,4.598,4.0,1.0,4.0,3.0,2.0,22.96,22.4,21.28,19.6,2.0,5.0,2.0,4.0,19.5,18.2,20.8,19.5,4.0,3.0,5.0,5.0,9.35,17.85,11.9,17.85,1.0,5.0,1.0,2.0,8.1,4.95,7.2,6.3,1
8.0,7.0,64.304,-1.0,40.104015,-2.0,5.094,1.0,2.0,3.0,3.0,3.0,19.68,19.2,18.24,16.8,2.0,4.0,3.0,1.0,15.0,14.0,16.0,15.0,4.0,5.0,3.0,5.0,9.35,17.85,11.9,17.85,2.0,3.0,3.0,1.0,8.1,4.95,7.2,6.3,3
6.0,7.0,31.789,32.687,27.36351,34.496124,4.603,4.0,1.0,4.0,3.0,2.0,22.96,22.4,21.28,19.6,4.0,1.0,3.0,5.0,19.5,18.2,20.8,19.5,4.0,1.0,2.0,3.0,5.5,10.5,7.0,10.5,2.0,2.0,5.0,4.0,11.7,7.15,10.4,9.1,2
8.0,7.0,62.066,-1.0,36.932545,36.53315,4.999,2.0,5.0,3.0,4.0,3.0,27.88,27.2,25.84,23.8,2.0,4.0,2.0,5.0,19.5,18.2,20.8,19.5,2.0,2.0,5.0,5.0,7.7,14.7,9.8,14.7,1.0,3.0,1.0,5.0,9.0,5.5,8.0,7.0,1
6.0,4.5,63.895,-1.0,38.44207,40.3882,4.718,5.0,1.0,3.0,5.0,3.0,27.88,27.2,25.84,23.8,3.0,2.0,5.0,5.0,22.5,21.0,24.0,22.5,4.0,1.0,1.0,4.0,5.5,10.5,7.0,10.5,2.0,3.0,3.0,3.0,9.9,6.05,8.8,7.7,2
7.0,5.0,56.488,-1.0,40.23369,41.67109,4.744,1.0,5.0,5.0,3.0,1.0,24.6,24.0,22.8,21.0,5.0,3.0,1.0,2.0,16.5,15.4,17.6,16.5,1.0,5.0,4.0,5.0,8.25,15.75,10.5,15.75,5.0,5.0,4.0,4.0,16.2,9.9,14.4,12.6,3
8.0,7.0,29.507,28.316,35.497837,32.996212,4.525,2.0,5.0,2.0,2.0,3.0,22.96,22.4,21.28,19.6,1.0,4.0,1.0,1.0,10.5,9.8,11.2,10.5,1.0,5.0,2.0,3.0,6.05,11.55,7.7,11.55,3.0,3.0,2.0,5.0,11.7,7.15,10.4,9.1,3
7.5,6.5,67.599,-1.0,0.0,24.11909,5.61,4.0,3.0,5.0,4.0,5.0,34.44,33.6,31.92,29.4,3.0,2.0,5.0,4.0,21.0,19.6,22.4,21.0,4.0,5.0,2.0,1.0,6.6,12.6,8.4,12.6,4.0,3.0,2.0,4.0,11.7,7.15,10.4,9.1,0
8.0,7.0,29.367,28.539,48.266644,53.34609,4.058,2.0,1.0,4.0,2.0,1.0,16.4,16.0,15.2,14.0,5.0,1.0,1.0,1.0,12.0,11.2,12.8,12.0,4.0,3.0,2.0,2.0,6.05,11.55,7.7,11.55,5.0,5.0,3.0,1.0,12.6,7.7,11.2,9.8,3
7.5,7.0,79.515,-1.0,30.279137,26.164635,5.27,5.0,2.0,2.0,3.0,2.0,22.96,22.4,21.28,19.6,1.0,5.0,1.0,2.0,13.5,12.6,14.4,13.5,2.0,4.0,1.0,5.0,6.6,12.6,8.4,12.6,2.0,2.0,2.0,3.0,8.1,4.95,7.2,6.3,3
6.5,6.0,58.784,-1.0,35.42412,37.38893,4.791,3.0,5.0,5.0,3.0,1.0,27.88,27.2,25.84,23.8,3.0,4.0,1.0,5.0,19.5,18.2,20.8,19.5,5.0,3.0,5.0,5.0,9.9,18.9,12.6,18.9,1.0,3.0,4.0,3.0,9.9,6.05,8.8,7.7,1
8.0,7.0,25.292,27.439,50.159218,46.080074,3.914,5.0,5.0,2.0,3.0,1.0,26.24,25.6,24.32,22.4,3.0,4.0,5.0,1.0,19.5,18.2,20.8,19.5,1.0,3.0,1.0,2.0,3.85,7.35,4.9,7.35,1.0,2.0,2.0,1.0,5.4,3.3,4.8,4.2,2
5.0,6.0,32.094,31.473,27.774395,35.61297,4.204,2.0,3.0,4.0,3.0,4.0,26.24,25.6,24.32,22.4,4.0,4.0,3.0,4.0,22.5,21.0,24.0,22.5,4.0,5.0,2.0,4.0,8.25,15.75,10.5,15.75,4.0,3.0,3.0,2.0,10.8,6.6,9.6,8.4,1
4.0,4.0,27.22,26.013,35.30798,33.683956,4.248,2.0,5.0,5.0,2.0,1.0,24.6,24.0,22.8,21.0,3.0,1.0,4.0,3.0,16.5,15.4,17.6,16.5,3.0,5.0,4.0,2.0,7.7,14.7,9.8,14.7,4.0,5.0,4.0,4.0,15.3,9.35,13.6,11.9,3
8.0,7.0,68.667,-1.0,32.891994,26.963509,5.09,2.0,4.0,3.0,1.0,5.0,24.6,24.0,22.8,21.0,4.0,3.0,1.0,4.0,18.0,16.8,19.2,18.0,5.0,3.0,2.0,3.0,7.15,13.65,9.1,13.65,3.0,5.0,5.0,5.0,16.2,9.9,14.4,12.6,0
7.0,7.0,25.486,26.851,61.198196,53.633,3.914,1.0,1.0,5.0,4.0,1.0,19.68,19.2,18.24,16.8,5.0,1.0,2.0,3.0,16.5,15.4,17.6,16.5,3.0,1.0,2.0,5.0,6.05,11.55,7.7,11.55,2.0,4.0,3.0,4.0,11.7,7.15,10.4,9.1,3
7.0,8.0,28.963,28.561,26.164635,30.279137,4.365,3.0,5.0,2.0,4.0,5.0,31.16,30.4,28.88,26.6,3.0,5.0,3.0,2.0,19.5,18.2,20.8,19.5,3.0,5.0,4.0,4.0,8.8,16.8,11.2,16.8,2.0,4.0,5.0,1.0,10.8,6.6,9.6,8.4,1
8.0,6.5,61.369,-1.0,42.38238,33.786972,4.822,5.0,2.0,5.0,5.0,5.0,36.08,35.2,33.44,30.8,4.0,4.0,3.0,4.0,22.5,21.0,24.0,22.5,1.0,4.0,1.0,1.0,3.85,7.35,4.9,7.35,5.0,1.0,2.0,1.0,8.1,4.95,7.2,6.3,2
8.0,4.0,28.733,27.35,37.759075,39.2565,4.042,4.0,3.0,3.0,5.0,1.0,26.24,25.6,24.32,22.4,4.0,5.0,3.0,4.0,24.0,22.4,25.6,24.0,3.0,1.0,3.0,1.0,4.4,8.4,5.6,8.4,5.0,3.0,2.0,2.0,10.8,6.6,9.6,8.4,2
7.0,6.5,64.345,-1.0,35.12309,32.741676,5.48,3.0,3.0,1.0,5.0,4.0,26.24,25.6,24.32,22.4,5.0,2.0,1.0,5.0,19.5,18.2,20.8,19.5,1.0,2.0,5.0,1.0,4.95,9.45,6.3,9.45,2.0,2.0,1.0,4.0,8.1,4.95,7.2,6.3,2
6.5,5.5,63.551,-1.0,-2.0,34.84268,4.873,2.0,5.0,4.0,2.0,1.0,22.96,22.4,21.28,19.6,2.0,4.0,1.0,1.0,12.0,11.2,12.8,12.0,4.0,1.0,1.0,2.0,4.4,8.4,5.6,8.4,1.0,1.0,2.0,3.0,6.3,3.85,5.6,4.9,3
5.0,5.0,37.231,29.222,31.138077,33.786972,4.473,3.0,4.0,2.0,5.0,2.0,26.24,25.6,24.32,22.4,3.0,4.0,5.0,5.0,25.5,23.8,27.2,25.5,2.0,4.0,2.0,2.0,5.5,10.5,7.0,10.5,1.0,2.0,5.0,4.0,10.8,6.6,9.6,8.4,2
7.5,6.0,56.831,-1.0,36.941425,36.74358,4.682,4.0,3.0,5.0,3.0,3.0,29.52,28.8,27.36,25.2,5.0,4.0,5.0,1.0,22.5,21.0,24.0,22.5,1.0,1.0,2.0,5.0,4.95,9.45,6.3,9.45,4.0,2.0,5.0,2.0,11.7,7.15,10.4,9.1,2
6.5,5.5,74.736,-1.0,35.61297,20.90888,5.107,5.0,1.0,5.0,2.0,2.0,24.6,24.0,22.8,21.0,2.0,1.0,2.0,1.0,9.0,8.4,9.6,9.0,2.0,3.0,5.0,2.0,6.6,12.6,8.4,12.6,4.0,1.0,2.0,5.0,10.8,6.6,9.6,8.4,3
7.0,7.0,32.564,30.889,31.138077,32.891994,4.443,1.0,3.0,5.0,4.0,2.0,24.6,24.0,22.8,21.0,1.0,1.0,4.0,2.0,12.0,11.2,12.8,12.0,1.0,1.0,5.0,1.0,4.4,8.4,5.6,8.4,3.0,4.0,4.0,5.0,14.4,8.8,12.8,11.2,3
7.5,6.5,54.998,-1.0,31.26176,18.169884,4.792,5.0,2.0,5.0,1.0,1.0,22.96,22.4,21.28,19.6,4.0,5.0,2.0,3.0,21.0,19.6,22.4,21.0,1.0,4.0,2.0,5.0,6.6,12.6,8.4,12.6,3.0,5.0,1.0,2.0,9.9,6.05,8.8,7.7,1
4.0,1.0,27.314,27.234,42.18382,39.107773,4.089,5.0,4.0,5.0,3.0,3.0,32.8,32.0,30.4,28.0,1.0,3.0,3.0,2.0,13.5,12.6,14.4,13.5,3.0,3.0,1.0,4.0,6.05,11.55,7.7,11.55,4.0,4.0,2.0,5.0,13.5,8.25,12.0,10.5,3
5.0,5.0,27.355,26.255,27.774395,35.61297,4.154,3.0,5.0,2.0,4.0,2.0,26.24,25.6,24.32,22.4,3.0,1.0,2.0,4.0,15.0,14.0,16.0,15.0,3.0,1.0,4.0,3.0,6.05,11.55,7.7,11.55,5.0,2.0,5.0,1.0,11.7,7.15,10.4,9.1,3
7.0,8.0,27.812,27.762,35.61297,39.409122,4.332,5.0,4.0,3.0,1.0,5.0,29.52,28.8,27.36,25.2,4.0,4.0,3.0,4.0,22.5,21.0,24.0,22.5,5.0,5.0,2.0,4.0,8.8,16.8,11.2,16.8,5.0,5.0,2.0,1.0,11.7,7.15,10.4,9.1,0
4.5,5.0,60.044,-1.0,40.72382,42.6829,5.098,3.0,3.0,1.0,4.0,1.0,19.68,19.2,18.24,16.8,3.0,3.0,1.0,2.0,13.5,12.6,14.4,13.5,3.0,3.0,3.0,4.0,7.15,13.65,9.1,13.65,2.0,1.0,3.0,5.0,9.9,6.05,8.8,7.7,3
0.0,0.5,48.624,-1.0,34.60234,32.96684,4.776,3.0,2.0,4.0,2.0,3.0,22.96,22.4,21.28,19.6,2.0,5.0,5.0,5.0,25.5,23.8,27.2,25.5,5.0,4.0,5.0,1.0,8.25,15.75,10.5,15.75,1.0,2.0,2.0,2.0,6.3,3.85,5.6,4.9,1
7.5,6.5,59.571,-1.0,35.313377,39.916325,4.78,5.0,4.0,4.0,2.0,5.0,32.8,32.0,30.4,28.0,4.0,3.0,5.0,5.0,25.5,23.8,27.2,25.5,2.0,5.0,4.0,3.0,7.7,14.7,9.8,14.7,3.0,2.0,4.0,4.0,11.7,7.15,10.4,9.1,0
8.0,7.0,57.143,-1.0,-2.0,24.602924,4.847,2.0,4.0,2.0,5.0,5.0,29.52,28.8,27.36,25.2,2.0,5.0,4.0,1.0,18.0,16.8,19.2,18.0,1.0,1.0,4.0,3.0,4.95,9.45,6.3,9.45,3.0,3.0,2.0,5.0,11.7,7.15,10.4,9.1,2
7.5,6.5,65.04,-1.0,40.571068,42.26,4.649,5.0,2.0,1.0,4.0,4.0,26.24,25.6,24.32,22.4,4.0,3.0,4.0,5.0,24.0,22.4,25.6,24.0,2.0,3.0,4.0,2.0,6.05,11.55,7.7,11.55,5.0,1.0,4.0,1.0,9.9,6.05,8.8,7.7,2
8.0,7.0,63.918,-1.0,37.47347,36.73378,4.918,2.0,1.0,4.0,2.0,1.0,16.4,16.0,15.2,14.0,5.0,3.0,4.0,2.0,21.0,19.6,22.4,21.0,4.0,2.0,4.0,2.0,6.6,12.6,8.4,12.6,2.0,2.0,5.0,2.0,9.9,6.05,8.8,7.7,1
7.0,7.0,32.947998,28.404,32.891994,29.432209,4.766,2.0,3.0,1.0,3.0,4.0,21.32,20.8,19.76,18.2,4.0,4.0,3.0,5.0,24.0,22.4,25.6,24.0,2.0,5.0,2.0,3.0,6.6,12.6,8.4,12.6,5.0,5.0,1.0,4.0,13.5,8.25,12.0,10.5,0
7.5,6.5,73.35,-1.0,33.786972,35.61297,4.882,4.0,2.0,4.0,4.0,5.0,31.16,30.4,28.88,26.6,3.0,5.0,1.0,2.0,16.5,15.4,17.6,16.5,3.0,2.0,5.0,2.0,6.6,12.6,8.4,12.6,2.0,5.0,5.0,2.0,12.6,7.7,11.2,9.8,3
7.0,7.0,33.008,27.732,27.774395,38.44207,4.381,1.0,5.0,3.0,5.0,3.0,27.88,27.2,25.84,23.8,4.0,4.0,5.0,3.0,24.0,22.4,25.6,24.0,1.0,4.0,2.0,1.0,4.4,8.4,5.6,8.4,5.0,5.0,2.0,5.0,15.3,9.35,13.6,11.9,2
8.0,7.0,27.731,28.854,34.22342,41.049763,4.381,4.0,5.0,1.0,4.0,5.0,31.16,30.4,28.88,26.6,3.0,3.0,5.0,2.0,19.5,18.2,20.8,19.5,1.0,1.0,3.0,1.0,3.3,6.3,4.2,6.3,3.0,3.0,1.0,2.0,8.1,4.95,7.2,6.3,2
3.0,4.0,27.52,27.19,41.3686,42.608578,4.173,4.0,3.0,4.0,2.0,5.0,29.52,28.8,27.36,25.2,2.0,3.0,3.0,2.0,15.0,14.0,16.0,15.0,5.0,4.0,2.0,3.0,7.7,14.7,9.8,14.7,1.0,2.0,5.0,5.0,11.7,7.15,10.4,9.1,3
8.0,6.5,52.569,-1.0,36.860584,40.65517,4.73,3.0,5.0,1.0,4.0,1.0,22.96,22.4,21.28,19.6,1.0,1.0,4.0,3.0,13.5,12.6,14.4,13.5,1.0,5.0,4.0,2.0,6.6,12.6,8.4,12.6,1.0,3.0,1.0,1.0,5.4,3.3,4.8,4.2,4
6.0,5.5,78.505,-1.0,43.291798,44.172596,4.844,5.0,1.0,1.0,3.0,5.0,24.6,24.0,22.8,21.0,1.0,1.0,1.0,2.0,7.5,7.0,8.0,7.5,1.0,1.0,1.0,2.0,2.75,5.25,3.5,5.25,2.0,2.0,3.0,3.0,9.0,5.5,8.0,7.0,3
6.0,6.0,27.606,27.026,31.138077,26.164635,4.124,2.0,3.0,3.0,1.0,5.0,22.96,22.4,21.28,19.6,1.0,3.0,3.0,5.0,18.0,16.8,19.2,18.0,2.0,5.0,2.0,5.0,7.7,14.7,9.8,14.7,4.0,4.0,5.0,2.0,13.5,8.25,12.0,10.5,0
7.0,7.0,29.959,31.411,40.87,24.93,4.93,2.0,3.0,5.0,3.0,2.0,24.6,24.0,22.8,21.0,5.0,1.0,4.0,5.0,22.5,21.0,24.0,22.5,3.0,1.0,4.0,1.0,4.95,9.45,6.3,9.45,5.0,1.0,3.0,1.0,9.0,5.5,8.0,7.0,2
