R1,R2,Rhythm,CTest1,CTest2,CScore,VJump1,VJump2,VJumpScore,30m,30mScore,PH1,PH2,PH3,PH4,PH5,PHTotal,PHA,PHB,PHV,PHF,Reac1,Reac2,Reac3,Reac4,RTotal,RA,RB,RV,RF,S1,S2,S3,S4,STotal,SA,SB,SV,SF,PS1,PS2,PS3,PS4,PSTotal,PSA,PSB,PSV,PSF,Branch
4,3.5,7.5,52.961,-1,45,55.019188,50.18275,10,5.402,4.5,1,5,5,1,2,56,22.96,22.4,21.28,19.6,1,3,4,1,45,13.5,12.6,14.4,13.5,2,1,3,4,50,5.5,10.5,7,10.5,5,4,2,5,80,14.4,8.8,12.8,11.2,C4
8,7,15,46.717,-1,45,35.935867,33.609074,7.5,5.049,9,1,3,3,3,4,56,22.96,22.4,21.28,19.6,3,1,3,4,55,16.5,15.4,17.6,16.5,1,3,3,2,45,4.95,9.45,6.3,9.45,5,3,4,4,80,14.4,8.8,12.8,11.2,C5
8,7,15,55.012,-1,45,40.210796,36.11383,9,5.225,7,2,1,1,5,5,56,22.96,22.4,21.28,19.6,3,4,3,2,60,18,16.8,19.2,18,1,4,5,4,70,7.7,14.7,9.8,14.7,1,4,3,1,45,8.1,4.95,7.2,6.3,C2
6,6,12,26.887,25.404,45,39.51,44.77,5.161998868,4.07,8.470586836,1,2,3,5,4,60,24.6,24,22.8,21,1,2,3,3,45,13.5,12.6,14.4,13.5,4,1,5,1,55,6.05,11.55,7.7,11.55,4,1,4,4,65,11.7,7.15,10.4,9.1,C4
7,6.5,13.5,54.793,-1,45,28.639585,18.621952,6,5.276,6,4,1,5,1,4,60,24.6,24,22.8,21,1,5,3,4,65,19.5,18.2,20.8,19.5,1,4,5,4,70,7.7,14.7,9.8,14.7,1,2,4,5,60,10.8,6.6,9.6,8.4,C2
7,7,14,27.01,26.704,45,37.48702,37.48702,2.235292941,4.139,11.2450853,4,3,3,3,2,60,24.6,24,22.8,21,4,5,3,2,70,21,19.6,22.4,21,5,1,5,2,65,7.15,13.65,9.1,13.65,1,5,1,2,45,8.1,4.95,7.2,6.3,C2
1,1,2,55.153,-1,45,37.572346,33.356144,8,5.205,7,4,3,3,2,3,60,24.6,24,22.8,21,5,1,5,3,70,21,19.6,22.4,21,1,3,3,1,40,4.4,8.4,5.6,8.4,1,3,3,4,55,9.9,6.05,8.8,7.7,C3
8,7,15,26.816,26.561,45,45.57266,42.12631,6.538962126,4.124,14.60165888,4,1,5,2,3,60,24.6,24,22.8,21,4,2,5,4,75,22.5,21,24,22.5,3,5,3,2,65,7.15,13.65,9.1,13.65,2,1,1,5,45,8.1,4.95,7.2,6.3,C2
7,7,14,29.959,31.411,45,40.87,24.93,10,4.93,10.06711543,2,3,5,3,2,60,24.6,24,22.8,21,5,1,4,5,75,22.5,21,24,22.5,3,1,4,1,45,4.95,9.45,6.3,9.45,5,1,3,1,50,9,5.5,8,7,C3
6,7,13,28.372,28.422,45,46.224037,46.224792,10,4.475,15,5,5,2,2,2,64,26.24,25.6,24.32,22.4,1,1,3,3,40,12,11.2,12.8,12,1,3,2,1,35,3.85,7.35,4.9,7.35,2,2,4,1,45,8.1,4.95,7.2,6.3,C4
7,8,15,26.018,27.139,45,44.424614,33.79,7.905882597,4.218,13.61595958,2,4,4,5,1,64,26.24,25.6,24.32,22.4,4,3,5,3,75,22.5,21,24,22.5,4,5,3,4,80,8.8,16.8,11.2,16.8,5,4,2,2,65,11.7,7.15,10.4,9.1,C1
3,4,7,30.917,28.216,45,36.54399,36.54399,8.269802332,4.401,15,1,5,4,5,2,68,27.88,27.2,25.84,23.8,1,1,3,4,45,13.5,12.6,14.4,13.5,2,5,1,5,65,7.15,13.65,9.1,13.65,3,4,4,4,75,13.5,8.25,12,10.5,C4
5,4.5,9.5,72.451,-1,45,19.515354,15.016433,0,6.298,0,4,4,3,5,1,68,27.88,27.2,25.84,23.8,5,2,5,5,85,25.5,23.8,27.2,25.5,1,4,3,3,55,6.05,11.55,7.7,11.55,1,2,2,2,35,6.3,3.85,5.6,4.9,C3
6,6.5,12.5,54.658,-1,45,24.602924,-2,1.368276775,5.487,5.274229646,4,4,5,2,3,72,29.52,28.8,27.36,25.2,1,1,3,2,35,10.5,9.8,11.2,10.5,5,2,1,2,50,5.5,10.5,7,10.5,1,1,5,3,50,9,5.5,8,7,C4
7.5,6,13.5,56.831,-1,45,36.941425,36.74358,8,4.682,13.5,4,3,5,3,3,72,29.52,28.8,27.36,25.2,5,4,5,1,75,22.5,21,24,22.5,1,1,2,5,45,4.95,9.45,6.3,9.45,4,2,5,2,65,11.7,7.15,10.4,9.1,C3
8,7,15,49.916,-1,45,31.96282,36.448875,8,5.085,8.5,3,5,4,2,5,76,31.16,30.4,28.88,26.6,5,3,2,1,55,16.5,15.4,17.6,16.5,3,2,1,4,50,5.5,10.5,7,10.5,5,4,5,4,90,16.2,9.9,14.4,12.6,C4
7,7,14,25.07,31.725,45,46.202057,45.993233,5.321263075,3.788,13.9438498,5,4,3,3,4,76,31.16,30.4,28.88,26.6,4,1,5,5,75,22.5,21,24,22.5,1,5,5,4,75,8.25,15.75,10.5,15.75,4,3,5,4,80,14.4,8.8,12.8,11.2,C1
7,7,14,28.26,27.923,45,41.379276,44.424614,10,4.252,15,4,4,5,4,2,76,31.16,30.4,28.88,26.6,3,5,5,4,85,25.5,23.8,27.2,25.5,5,2,3,3,65,7.15,13.65,9.1,13.65,4,4,4,1,65,11.7,7.15,10.4,9.1,C1
5,5,10,64.4,-1,45,30.279137,37.48702,10,5.027,0,5,5,3,5,3,84,34.44,33.6,31.92,29.4,5,2,5,5,85,25.5,23.8,27.2,25.5,3,2,1,2,40,4.4,8.4,5.6,8.4,3,3,3,3,60,10.8,6.6,9.6,8.4,C3
9,4.5,13.5,45.665,-1,45,31.138077,32.009026,2.305191755,5.089,5.783446133,5,5,5,4,5,96,39.36,38.4,36.48,33.6,1,5,2,3,55,16.5,15.4,17.6,16.5,4,1,3,4,60,6.6,12.6,8.4,12.6,3,5,5,1,70,12.6,7.7,11.2,9.8,C5
8,7,15,25.086,25.613,44.91704732,48.36253,47.128555,5.995322466,4.061,10.29411972,5,2,4,4,4,76,31.16,30.4,28.88,26.6,3,2,3,1,45,13.5,12.6,14.4,13.5,1,3,2,2,40,4.4,8.4,5.6,8.4,4,5,4,5,90,16.2,9.9,14.4,12.6,C4
8,7,15,29.917,26.636,44.75977331,36.402767,32.127026,3.583613336,4.121,14.63900685,4,5,4,4,3,80,32.8,32,30.4,28,2,2,4,4,60,18,16.8,19.2,18,2,3,2,4,55,6.05,11.55,7.7,11.55,1,1,1,3,30,5.4,3.3,4.8,4.2,C3
8,7,15,55.205,-1,44.56262559,31.138077,32.891994,5.175172091,4.803,12.98272043,1,2,3,2,1,36,14.76,14.4,13.68,12.6,2,5,2,1,50,15,14,16,15,2,3,4,3,60,6.6,12.6,8.4,12.6,2,4,2,5,65,11.7,7.15,10.4,9.1,C5
5,6,11,27.058,26.8,44.53101575,35.329826,39.46614,6.972388625,4.171,12.54918784,3,2,1,5,2,52,21.32,20.8,19.76,18.2,3,1,5,3,60,18,16.8,19.2,18,1,1,3,3,40,4.4,8.4,5.6,8.4,3,3,4,3,65,11.7,7.15,10.4,9.1,C3
8,5.5,13.5,55.245,-1,44.53064293,32.891994,37.48702,7.285513878,4.757,13.50112796,1,1,2,2,2,32,13.12,12.8,12.16,11.2,2,4,3,2,55,16.5,15.4,17.6,16.5,5,1,1,3,50,5.5,10.5,7,10.5,4,5,2,3,70,12.6,7.7,11.2,9.8,C5
8,7,15,25.18,25.801,44.42971945,53.38216,53.70915,7.663446665,3.737,14.62567002,3,5,3,5,2,72,29.52,28.8,27.36,25.2,5,5,5,2,85,25.5,23.8,27.2,25.5,3,5,2,3,65,7.15,13.65,9.1,13.65,2,3,4,4,65,11.7,7.15,10.4,9.1,C1
8,5,13,26.149,25.223,44.20679837,50.916557,50.32434,6.792169213,4.222,8.141709566,4,2,1,4,2,52,21.32,20.8,19.76,18.2,5,2,1,3,55,16.5,15.4,17.6,16.5,1,2,4,2,45,4.95,9.45,6.3,9.45,2,4,2,3,55,9.9,6.05,8.8,7.7,C4
7,8,15,27.12,26.273,44.18274701,37.48702,26.963509,5.641175508,4.286,12.76808113,1,3,2,5,3,56,22.96,22.4,21.28,19.6,3,4,2,4,65,19.5,18.2,20.8,19.5,3,2,2,4,55,6.05,11.55,7.7,11.55,5,4,2,4,75,13.5,8.25,12,10.5,C3
7.5,6,13.5,47.396,-1,44,46.819557,50.65129,8.5,4.502,10.5,4,1,2,2,1,40,16.4,16,15.2,14,5,3,2,1,55,16.5,15.4,17.6,16.5,2,1,4,4,55,6.05,11.55,7.7,11.55,3,4,4,2,65,11.7,7.15,10.4,9.1,C4
8,7,15,57.791,-1,44,39.703403,40.238888,9,4.553,15,5,5,5,3,1,76,31.16,30.4,28.88,26.6,2,2,5,3,60,18,16.8,19.2,18,2,4,1,2,45,4.95,9.45,6.3,9.45,3,5,5,5,90,16.2,9.9,14.4,12.6,C3
0,0,0,47.694,-1,44,39.183144,39.94277,5.5,4.727,7.5,5,4,5,4,2,80,32.8,32,30.4,28,5,1,4,3,65,19.5,18.2,20.8,19.5,5,3,4,5,85,9.35,17.85,11.9,17.85,2,2,1,5,50,9,5.5,8,7,C2
8,7,15,25.292,27.439,43.84907752,50.159218,46.080074,6.555882096,3.914,12.25935906,5,5,2,3,1,64,26.24,25.6,24.32,22.4,3,4,5,1,65,19.5,18.2,20.8,19.5,1,3,1,2,35,3.85,7.35,4.9,7.35,1,2,2,1,30,5.4,3.3,4.8,4.2,C3
4,6,10,26.959,27.412,43.80356848,29.432209,39.409122,3.019606471,4.316,7.765399218,2,5,2,1,1,44,18.04,17.6,16.72,15.4,2,1,1,2,30,9,8.4,9.6,9,4,2,2,2,50,5.5,10.5,7,10.5,5,3,1,2,55,9.9,6.05,8.8,7.7,C4
5.5,6,11.5,56.3,-1,43.68707746,28.597296,35.61297,6.424825191,4.878,12.13749379,5,5,1,1,5,68,27.88,27.2,25.84,23.8,5,5,5,5,100,30,28,32,30,1,1,1,5,40,4.4,8.4,5.6,8.4,3,1,3,4,55,9.9,6.05,8.8,7.7,C3
7.5,4.5,12,56.357,-1,43.64150137,27.774395,35.61297,6.424825191,5.171,8.835462034,2,1,4,3,2,48,19.68,19.2,18.24,16.8,5,2,3,4,70,21,19.6,22.4,21,4,1,2,3,50,5.5,10.5,7,10.5,3,3,5,1,60,10.8,6.6,9.6,8.4,C3
8,7,15,56.682,-1,43.38163555,31.138077,27.774395,4.36965555,4.755,13.52366567,1,2,5,1,2,44,18.04,17.6,16.72,15.4,4,2,3,3,60,18,16.8,19.2,18,2,5,1,1,45,4.95,9.45,6.3,9.45,4,5,3,5,85,15.3,9.35,13.6,11.9,C3
9,6,15,46.383,-1,43.25747341,39.409122,38.44207,7.305189967,4.485,13.75879884,4,2,2,5,1,56,22.96,22.4,21.28,19.6,3,5,5,5,90,27,25.2,28.8,27,3,2,3,3,55,6.05,11.55,7.7,11.55,5,3,2,3,65,11.7,7.15,10.4,9.1,C3
5,6,11,26.981,25.437,43.09734821,42.497932,39.873806,4.165591002,4.239,7.914440632,4,1,5,5,4,76,31.16,30.4,28.88,26.6,3,3,4,1,55,16.5,15.4,17.6,16.5,5,4,2,2,65,7.15,13.65,9.1,13.65,3,1,1,1,30,5.4,3.3,4.8,4.2,C4
8,5,13,27.247,25.438,43.09216619,49.509563,44.58578,6.353192329,3.977,11.41711324,2,3,2,2,1,40,16.4,16,15.2,14,2,3,4,4,65,19.5,18.2,20.8,19.5,3,2,5,1,55,6.05,11.55,7.7,11.55,4,1,3,3,55,9.9,6.05,8.8,7.7,C3
8,5.5,13.5,48.723,-1,43,37.388657,39.819294,5.5,4.791,6.5,1,1,3,4,2,44,18.04,17.6,16.72,15.4,1,3,3,3,50,15,14,16,15,4,3,3,2,60,6.6,12.6,8.4,12.6,4,5,4,2,75,13.5,8.25,12,10.5,C4
6,6.5,12.5,58.269,-1,43,27.318007,26.527544,5.5,5.739,1,1,1,5,1,5,52,21.32,20.8,19.76,18.2,4,2,3,4,65,19.5,18.2,20.8,19.5,1,3,1,5,50,5.5,10.5,7,10.5,5,3,4,1,65,11.7,7.15,10.4,9.1,C3
0,0.5,0.5,48.624,-1,43,34.60234,32.96684,4.5,4.776,7,3,2,4,2,3,56,22.96,22.4,21.28,19.6,2,5,5,5,85,25.5,23.8,27.2,25.5,5,4,5,1,75,8.25,15.75,10.5,15.75,1,2,2,2,35,6.3,3.85,5.6,4.9,C2
8,7,15,58.177,-1,43,31.953053,28.329948,6.5,5.144,8,2,4,5,3,5,76,31.16,30.4,28.88,26.6,5,4,4,5,90,27,25.2,28.8,27,5,4,5,2,80,8.8,16.8,11.2,16.8,5,5,1,3,70,12.6,7.7,11.2,9.8,C1
8,5.5,13.5,48.309,-1,43,32.944717,39.15016,5.5,4.521,10,5,4,5,5,2,84,34.44,33.6,31.92,29.4,5,3,2,1,55,16.5,15.4,17.6,16.5,2,3,1,4,50,5.5,10.5,7,10.5,4,4,2,1,55,9.9,6.05,8.8,7.7,C5
7,6,13,58.514,-1,43,38.53548,-2,8.5,4.844,11.5,4,5,5,3,5,88,36.08,35.2,33.44,30.8,2,1,5,5,65,19.5,18.2,20.8,19.5,4,3,5,2,70,7.7,14.7,9.8,14.7,2,4,5,2,65,11.7,7.15,10.4,9.1,C1
7,8,15,26.671,26.72,42.90720105,35.61297,38.44207,5.952942371,4.234,13.41645509,1,5,5,3,2,64,26.24,25.6,24.32,22.4,1,3,3,5,60,18,16.8,19.2,18,4,1,3,3,55,6.05,11.55,7.7,11.55,1,3,4,1,45,8.1,4.95,7.2,6.3,C3
7,7,14,25.486,26.851,42.8433162,61.198196,53.633,10,3.914,12.25935906,1,1,5,4,1,48,19.68,19.2,18.24,16.8,5,1,2,3,55,16.5,15.4,17.6,16.5,3,1,2,5,55,6.05,11.55,7.7,11.55,2,4,3,4,65,11.7,7.15,10.4,9.1,C4
6,6,12,30.6,30.607,42.64607191,27.71,28.32,2.716192901,4.44,15,4,2,1,1,1,36,14.76,14.4,13.68,12.6,5,2,2,4,65,19.5,18.2,20.8,19.5,3,1,2,2,40,4.4,8.4,5.6,8.4,5,3,4,4,80,14.4,8.8,12.8,11.2,C5
8,6.5,14.5,57.661,-1,42.59883821,-2,36.54399,6.85241282,4.624,15,3,2,1,2,4,48,19.68,19.2,18.24,16.8,4,4,2,4,70,21,19.6,22.4,21,4,2,2,1,45,4.95,9.45,6.3,9.45,2,1,3,4,50,9,5.5,8,7,C3
7,6,13,45.866,-1,42.43751138,45.463757,41.379276,6.38864398,4.612,9.876683056,4,4,2,3,3,64,26.24,25.6,24.32,22.4,3,3,1,5,60,18,16.8,19.2,18,5,2,4,3,70,7.7,14.7,9.8,14.7,5,2,5,2,70,12.6,7.7,11.2,9.8,C1
8,7,15,25.567,25.955,42.42338955,49.906105,57.040432,8.702793717,3.787,13.95722151,5,5,5,3,4,88,36.08,35.2,33.44,30.8,4,3,1,4,60,18,16.8,19.2,18,2,3,3,2,50,5.5,10.5,7,10.5,2,2,3,2,45,8.1,4.95,7.2,6.3,C3
7,7,14,31.92,30.67,42.38901436,38,39.28,9.077190757,4.67,12.6845634,5,1,5,1,3,60,24.6,24,22.8,21,1,3,4,2,50,15,14,16,15,5,3,5,2,75,8.25,15.75,10.5,15.75,4,4,4,2,70,12.6,7.7,11.2,9.8,C5
7,6.5,13.5,45.949,-1,42.36412078,-2,31.138077,2.15616703,4.607,9.932738543,5,1,2,3,5,64,26.24,25.6,24.32,22.4,5,1,1,4,55,16.5,15.4,17.6,16.5,1,2,2,1,30,3.3,6.3,4.2,6.3,4,1,2,2,45,8.1,4.95,7.2,6.3,C4
6,6,12,27.386,27.715,42.35746622,42.08507,43.31409,5.811052322,4.124,14.60165888,1,3,3,4,1,48,19.68,19.2,18.24,16.8,4,5,1,4,70,21,19.6,22.4,21,5,5,1,3,70,7.7,14.7,9.8,14.7,3,4,3,5,75,13.5,8.25,12,10.5,C1
8,7,15,27.421,29.377,42.24536061,43.84149,47.574245,7.184050083,4.092,15,1,3,3,4,5,64,26.24,25.6,24.32,22.4,3,4,3,2,60,18,16.8,19.2,18,3,1,3,1,40,4.4,8.4,5.6,8.4,4,5,3,5,85,15.3,9.35,13.6,11.9,C3
6,5,11,26.805,25.741,42.24222779,49.4,48.2,7.704558372,3.7,15,1,3,3,2,3,48,19.68,19.2,18.24,16.8,1,5,4,3,65,19.5,18.2,20.8,19.5,5,1,3,2,55,6.05,11.55,7.7,11.55,2,4,3,5,70,12.6,7.7,11.2,9.8,C3
5.5,5,10.5,46.092,-1,42.23767877,34.693966,31.138077,3.2067433,4.627,9.70852375,3,3,1,5,1,52,21.32,20.8,19.76,18.2,4,5,5,1,75,22.5,21,24,22.5,1,3,2,4,50,5.5,10.5,7,10.5,2,4,3,1,50,9,5.5,8,7,C3
3,3,6,-2,29.628,42.23534793,34.693966,40.3882,10,4.717,11.32842779,2,3,1,2,1,36,14.76,14.4,13.68,12.6,3,5,3,4,75,22.5,21,24,22.5,4,4,1,1,50,5.5,10.5,7,10.5,2,1,2,5,50,9,5.5,8,7,C5
6,6,12,26.108,25.63,42.09677696,46.303406,46.218616,5.352883935,4.22,8.168452084,3,1,2,2,2,40,16.4,16,15.2,14,5,2,5,1,65,19.5,18.2,20.8,19.5,4,5,5,2,80,8.8,16.8,11.2,16.8,3,5,5,4,85,15.3,9.35,13.6,11.9,C1
7,6,13,46.31,-1,42.04491645,33.786972,32.009026,2.938774824,4.614,9.854263365,3,3,5,4,2,68,27.88,27.2,25.84,23.8,4,5,5,1,75,22.5,21,24,22.5,5,5,5,4,95,10.45,19.95,13.3,19.95,1,4,4,1,50,9,5.5,8,7,C2
7,6.5,13.5,46.359,-1,42.00158805,51.95,46.51,8.304983974,4.155,15,3,2,5,4,3,68,27.88,27.2,25.84,23.8,3,5,5,4,85,25.5,23.8,27.2,25.5,4,1,4,1,50,5.5,10.5,7,10.5,1,5,2,5,65,11.7,7.15,10.4,9.1,C3
5.5,4.5,10,59.124,-1,42,33.791603,36.729355,8,5.161,7.5,1,2,2,3,1,36,14.76,14.4,13.68,12.6,4,3,1,5,65,19.5,18.2,20.8,19.5,2,4,4,5,75,8.25,15.75,10.5,15.75,5,3,2,5,75,13.5,8.25,12,10.5,C5
8,7,15,59.735,-1,42,31.118061,33.56416,7,5.082,8.5,2,1,3,5,2,52,21.32,20.8,19.76,18.2,2,5,4,1,60,18,16.8,19.2,18,3,2,2,3,50,5.5,10.5,7,10.5,4,5,1,3,65,11.7,7.15,10.4,9.1,C3
0,0,0,49.839,-1,42,45.338867,43.515144,7,4.598,9,4,1,4,3,2,56,22.96,22.4,21.28,19.6,2,5,2,4,65,19.5,18.2,20.8,19.5,4,3,5,5,85,9.35,17.85,11.9,17.85,1,5,1,2,45,8.1,4.95,7.2,6.3,C2
7,5.5,12.5,49.933,-1,42,26.175282,27.942343,2.5,5.282,1,1,4,5,5,1,64,26.24,25.6,24.32,22.4,4,5,2,3,70,21,19.6,22.4,21,4,2,3,4,65,7.15,13.65,9.1,13.65,3,5,3,5,80,14.4,8.8,12.8,11.2,C1
5,4.5,9.5,59.963,-1,42,30.99281,28.744438,6.5,5.211,7,3,3,4,4,3,68,27.88,27.2,25.84,23.8,5,5,2,1,65,19.5,18.2,20.8,19.5,5,3,4,3,75,8.25,15.75,10.5,15.75,4,5,4,1,70,12.6,7.7,11.2,9.8,C1
9,6,15,59.004,-1,42,35.65461,36.06753,8,5.155,7.5,5,5,3,1,4,72,29.52,28.8,27.36,25.2,2,3,2,5,60,18,16.8,19.2,18,4,4,4,1,65,7.15,13.65,9.1,13.65,2,5,5,1,65,11.7,7.15,10.4,9.1,C1
5,4,9,36.936,30.792,41.94099963,32.71,38.7,8.740569949,5.93,0,1,2,1,4,2,40,16.4,16,15.2,14,2,5,1,4,60,18,16.8,19.2,18,3,2,3,3,55,6.05,11.55,7.7,11.55,1,2,5,3,55,9.9,6.05,8.8,7.7,C3
8,7,15,26.806,25.689,41.79090053,48.59132,47.325615,6.066703796,4.124,9.451871216,1,2,4,2,2,44,18.04,17.6,16.72,15.4,5,1,1,4,55,16.5,15.4,17.6,16.5,1,1,1,4,35,3.85,7.35,4.9,7.35,3,5,1,5,70,12.6,7.7,11.2,9.8,C4
8,6.5,14.5,46.631,-1,41.76107973,46.5149,38.44207,6.699200869,4.275,13.65470946,1,5,3,1,3,52,21.32,20.8,19.76,18.2,3,5,2,4,70,21,19.6,22.4,21,5,3,4,3,75,8.25,15.75,10.5,15.75,2,5,5,4,80,14.4,8.8,12.8,11.2,C1
8,7,15,25.743,26.839,41.51094228,42.0799,39.506,4.035166204,4.011,10.96256554,1,3,1,2,1,32,13.12,12.8,12.16,11.2,1,1,4,3,45,13.5,12.6,14.4,13.5,4,4,2,1,55,6.05,11.55,7.7,11.55,3,3,5,5,80,14.4,8.8,12.8,11.2,C5
8,7,15,28.042,25.822,41.10137969,34.24817,29.930927,1.591697186,4.186,8.622996211,4,4,4,2,1,60,24.6,24,22.8,21,3,5,2,3,65,19.5,18.2,20.8,19.5,5,4,2,1,60,6.6,12.6,8.4,12.6,1,5,3,4,65,11.7,7.15,10.4,9.1,C1
4.5,5,9.5,60.044,-1,41,40.72382,42.6829,9.5,5.098,8.5,3,3,1,4,1,48,19.68,19.2,18.24,16.8,3,3,1,2,45,13.5,12.6,14.4,13.5,3,3,3,4,65,7.15,13.65,9.1,13.65,2,1,3,5,55,9.9,6.05,8.8,7.7,C4
8,6.5,14.5,50.353,-1,41,38.425457,36.370716,5.5,4.536,10,2,3,4,1,2,48,19.68,19.2,18.24,16.8,3,3,5,1,60,18,16.8,19.2,18,3,3,3,2,55,6.05,11.55,7.7,11.55,1,4,1,2,40,7.2,4.4,6.4,5.6,C3
8,6.5,14.5,50.388,-1,41,59.508934,51.724625,10,4.141,15,5,3,2,1,1,48,19.68,19.2,18.24,16.8,3,4,5,1,65,19.5,18.2,20.8,19.5,5,2,4,1,60,6.6,12.6,8.4,12.6,5,1,1,3,50,9,5.5,8,7,C2
7.5,7,14.5,60.641,-1,41,26.759338,27.760277,5.5,5.467,4,5,3,2,3,1,56,22.96,22.4,21.28,19.6,3,5,1,5,70,21,19.6,22.4,21,1,3,1,4,45,4.95,9.45,6.3,9.45,2,3,1,2,40,7.2,4.4,6.4,5.6,C3
5,3.5,8.5,50.847,-1,41,44.28,42.61,7,4.807,6.5,4,4,3,2,1,56,22.96,22.4,21.28,19.6,4,4,5,4,85,25.5,23.8,27.2,25.5,4,3,1,4,60,6.6,12.6,8.4,12.6,1,2,1,4,40,7.2,4.4,6.4,5.6,C2
5.5,4,9.5,60.752,-1,41,36.711777,35.260628,8,4.978,10,4,3,4,1,3,60,24.6,24,22.8,21,3,1,1,1,30,9,8.4,9.6,9,3,5,4,5,85,9.35,17.85,11.9,17.85,4,2,5,5,80,14.4,8.8,12.8,11.2,C4
6.5,6,12.5,60.941,-1,41,31.383953,25.075926,6.5,5.714,1,1,2,4,5,3,60,24.6,24,22.8,21,1,1,4,2,40,12,11.2,12.8,12,3,2,4,5,70,7.7,14.7,9.8,14.7,3,1,5,3,60,10.8,6.6,9.6,8.4,C4
8,7,15,60.753,-1,41,31.926521,35.517757,7.5,4.972,10,4,2,2,2,5,60,24.6,24,22.8,21,1,4,4,2,55,16.5,15.4,17.6,16.5,3,5,4,4,80,8.8,16.8,11.2,16.8,3,4,4,3,70,12.6,7.7,11.2,9.8,C4
7.5,7,14.5,60.241,-1,41,38.603973,39.458355,8.5,5.008,9.5,2,2,5,5,1,60,24.6,24,22.8,21,5,2,4,2,65,19.5,18.2,20.8,19.5,5,1,5,1,60,6.6,12.6,8.4,12.6,1,3,3,5,60,10.8,6.6,9.6,8.4,C2
6,6,12,50.794,-1,41,-2,35.6759,4.5,4.94,5,3,4,2,3,3,60,24.6,24,22.8,21,5,2,1,5,65,19.5,18.2,20.8,19.5,1,4,3,5,65,7.15,13.65,9.1,13.65,2,5,2,5,70,12.6,7.7,11.2,9.8,C1
6,3.5,9.5,50.596,-1,41,57.84163,55.74492,10,4.311,12.5,4,3,3,1,5,64,26.24,25.6,24.32,22.4,1,2,2,2,35,10.5,9.8,11.2,10.5,2,5,5,5,85,9.35,17.85,11.9,17.85,2,5,4,1,60,10.8,6.6,9.6,8.4,C4
